date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:24	61121/61121	---M-Z	200	added ('OK')	text/html	etag:%22eec1-66afadf0-d213fba0cc95b873;gz%22	https://validthemes.net/site-template/agrica/index.html	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/index.html	(from )
13:03:24	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-62c83a09-a3e8704ae7119b8a;gz%22	https://validthemes.net/robots.txt		(from )
13:03:24	4055/4055	---M--	200	added ('OK')	image/png	etag:%22fd7-65fc96b8-ba0d28c11773b43c;;;%22	https://validthemes.net/site-template/agrica/assets/img/favicon.png	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/img/favicon.png	(from https://validthemes.net/site-template/agrica/index.html)
13:03:25	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-65fc96b8-47f1bb864aa0202d;gz%22	https://validthemes.net/site-template/agrica/assets/css/bootstrap.min.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/bootstrap.min.css	(from https://validthemes.net/site-template/agrica/index.html)
13:03:25	174244/174244	---M-Z	200	added ('OK')	text/css	etag:%222a8a4-65fc96b8-fdb4f4fcd6c94a1f;gz%22	https://validthemes.net/site-template/agrica/assets/css/font-awesome.min.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/font-awesome.min.css	(from https://validthemes.net/site-template/agrica/index.html)
13:03:25	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-65fc96b8-74767db164ca0da7;gz%22	https://validthemes.net/site-template/agrica/assets/css/magnific-popup.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/magnific-popup.css	(from https://validthemes.net/site-template/agrica/index.html)
13:03:25	8515/8515	---M-Z	200	added ('OK')	text/css	etag:%222143-65fc96b8-4615329a48d6f345;gz%22	https://validthemes.net/site-template/agrica/assets/css/flaticon-set.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/flaticon-set.css	(from https://validthemes.net/site-template/agrica/index.html)
13:03:26	15820/15820	---M-Z	200	added ('OK')	text/css	etag:%223dcc-65fc96b8-96906e09f7de4e7b;gz%22	https://validthemes.net/site-template/agrica/assets/css/swiper-bundle.min.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/swiper-bundle.min.css	(from https://validthemes.net/site-template/agrica/index.html)
13:03:26	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-65fc96b8-24425b4f0a1d9fd8;gz%22	https://validthemes.net/site-template/agrica/assets/css/animate.min.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/animate.min.css	(from https://validthemes.net/site-template/agrica/index.html)
13:03:26	75720/75720	---M-Z	200	added ('OK')	text/css	etag:%22127c8-65fc96b8-d927fb210f759430;gz%22	https://validthemes.net/site-template/agrica/assets/css/validnavs.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/validnavs.css	(from https://validthemes.net/site-template/agrica/index.html)
13:03:26	154192/154192	---M-Z	200	added ('OK')	text/css	etag:%2225a50-65fc96b8-d16077fb93ae1b1f;gz%22	https://validthemes.net/site-template/agrica/assets/css/helper.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/helper.css	(from https://validthemes.net/site-template/agrica/index.html)
13:03:26	32782/32782	---M-Z	200	added ('OK')	text/css	etag:%22800e-65fc96b8-2e128ec491c6ed78;gz%22	https://validthemes.net/site-template/agrica/assets/css/unit-test.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/unit-test.css	(from https://validthemes.net/site-template/agrica/index.html)
13:03:27	66526/66526	---M-Z	200	added ('OK')	text/css	etag:%22103de-65fc96b8-4cfe9cdb508d6b47;gz%22	https://validthemes.net/site-template/agrica/assets/css/shop.css	C:/Users/Administrador/Desktop/UNSCH-2024II/Desarrollo%20Web/LAB03/PaginaProfesional/validthemes.net/site-template/agrica/assets/css/shop.css	(from https://validthemes.net/site-template/agrica/index.html)
